"$1,585,000",34 Hutchins Street,Yarralumla,house,Sold on 19 Mar 2016,3,2,2,http://www.realestate.com.au/sold/property-house-act-yarralumla-122008646,https://www.realestate.com.au/sold/in-2600/list-3
"$385,000",11/47 'Landmark' Blackall Street,Barton,house,Sold on 19 Mar 2016,1,1,1,http://www.realestate.com.au/sold/property-house-act-barton-121634406,https://www.realestate.com.au/sold/in-2600/list-3
"$741,500",3 Barron Street,Deakin,house,Sold on 16 Mar 2016,2,1,0,http://www.realestate.com.au/sold/property-house-act-deakin-121283698,https://www.realestate.com.au/sold/in-2600/list-3
"$980,000",47 Newdegate Street,Deakin,house,Sold on 05 Mar 2016,3,2,2,http://www.realestate.com.au/sold/property-house-act-deakin-121827842,https://www.realestate.com.au/sold/in-2600/list-3
"$720,000",74/32 Blackall Street,Barton,apartment,Sold on 04 Mar 2016,2,2,2,http://www.realestate.com.au/sold/property-apartment-act-barton-119620619,https://www.realestate.com.au/sold/in-2600/list-3
"$538,000",14/5 Lane-Poole Place,Yarralumla,townhouse,Sold on 29 Feb 2016,2,1,1,http://www.realestate.com.au/sold/property-townhouse-act-yarralumla-121513538,https://www.realestate.com.au/sold/in-2600/list-4
"$420,000",30 & 32 Blackall St,Barton,apartment,Sold on 24 Feb 2016,1,1,1,http://www.realestate.com.au/sold/property-apartment-act-barton-114719167,https://www.realestate.com.au/sold/in-2600/list-4
"$533,000",37/12-14 Darling Street,Barton,apartment,Sold on 23 Feb 2016,2,1,1,http://www.realestate.com.au/sold/property-apartment-act-barton-121210106,https://www.realestate.com.au/sold/in-2600/list-4
"$1,075,000",91 Schlich Street,Yarralumla,house,Sold on 20 Feb 2016,4,2,2,http://www.realestate.com.au/sold/property-house-act-yarralumla-121759122,https://www.realestate.com.au/sold/in-2600/list-4
"$500,000",20 / 3 Lane Poole,Yarralumla,townhouse,Sold on 17 Feb 2016,2,1,1,http://www.realestate.com.au/sold/property-townhouse-act-yarralumla-121233558,https://www.realestate.com.au/sold/in-2600/list-4
"$1,850,000",49 Bailey Place,Yarralumla,house,Sold on 12 Feb 2016,5,3,2,http://www.realestate.com.au/sold/property-house-act-yarralumla-115288779,https://www.realestate.com.au/sold/in-2600/list-4
"$1,330,000",2/9 Bentham Street,Yarralumla,townhouse,Sold on 06 Feb 2016,3,3,2,http://www.realestate.com.au/sold/property-townhouse-act-yarralumla-121660878,https://www.realestate.com.au/sold/in-2600/list-4
"$870,000",15 Kent Street,Deakin,townhouse,Sold on 05 Feb 2016,3,2,2,http://www.realestate.com.au/sold/property-townhouse-act-deakin-121070254,https://www.realestate.com.au/sold/in-2600/list-4
"$1,175,000",12 Weston Street,Yarralumla,house,Sold on 22 Jan 2016,3,2,2,http://www.realestate.com.au/sold/property-house-act-yarralumla-121129022,https://www.realestate.com.au/sold/in-2600/list-4
"$605,000",45/3 Burbury Close,Barton,unit,Sold on 21 Jan 2016,2,2,2,http://www.realestate.com.au/sold/property-unit-act-barton-121014786,https://www.realestate.com.au/sold/in-2600/list-4
"$532,000",34/29-31 State Circle,Deakin,unit,Sold on 15 Jan 2016,2,2,2,http://www.realestate.com.au/sold/property-unit-act-deakin-120823953,https://www.realestate.com.au/sold/in-2600/list-4
"$929,000",21 Macartney Crescent,Deakin,house,Sold on 10 Jan 2016,3,1,2,http://www.realestate.com.au/sold/property-house-act-deakin-121003858,https://www.realestate.com.au/sold/in-2600/list-4
"$405,000",22/47 Blackall Street,Barton,apartment,Sold on 23 Dec 2015,1,1,1,http://www.realestate.com.au/sold/property-apartment-act-barton-121303138,https://www.realestate.com.au/sold/in-2600/list-4
"$745,000",2/4 Hutchins Street,Yarralumla,house,Sold on 16 Dec 2015,3,2,2,http://www.realestate.com.au/sold/property-house-act-yarralumla-121408878,https://www.realestate.com.au/sold/in-2600/list-4
"$1,255,000",6 Weld Street,Yarralumla,house,Sold on 12 Dec 2015,4,1,1,http://www.realestate.com.au/sold/property-house-act-yarralumla-121408918,https://www.realestate.com.au/sold/in-2600/list-4
"$950,000",71 Stonehaven Crescent,Deakin,house,Sold on 04 Dec 2015,3,2,2,http://www.realestate.com.au/sold/property-house-act-deakin-120875593,https://www.realestate.com.au/sold/in-2600/list-4
"$1,015,000",5 Turner Place,Yarralumla,house,Sold on 02 Dec 2015,3,1,1,http://www.realestate.com.au/sold/property-house-act-yarralumla-121283922,https://www.realestate.com.au/sold/in-2600/list-4
"$1,315,000",15 Lawley Street,Deakin,house,Sold on 25 Nov 2015,3,3,2,http://www.realestate.com.au/sold/property-house-act-deakin-120816377,https://www.realestate.com.au/sold/in-2600/list-4
"$1,055,000",2 Barron Street,Deakin,house,Sold on 21 Nov 2015,5,2,1,http://www.realestate.com.au/sold/property-house-act-deakin-121068054,https://www.realestate.com.au/sold/in-2600/list-4
"$860,000",11A Hamilton Row,Yarralumla,house,Sold on 20 Nov 2015,3,2,2,http://www.realestate.com.au/sold/property-house-act-yarralumla-121025578,https://www.realestate.com.au/sold/in-2600/list-4
"$831,000",73 Buxton Street,Deakin,house,Sold on 19 Nov 2015,3,1,1,http://www.realestate.com.au/sold/property-house-act-deakin-121155378,https://www.realestate.com.au/sold/in-2600/list-5
"$1,500,000",8 Brassey Street,Deakin,house,Sold on 14 Nov 2015,4,3,3,http://www.realestate.com.au/sold/property-house-act-deakin-121069302,https://www.realestate.com.au/sold/in-2600/list-5
"$751,000",19 Loftus Street,Yarralumla,house,Sold on 14 Nov 2015,3,2,2,http://www.realestate.com.au/sold/property-house-act-yarralumla-120993834,https://www.realestate.com.au/sold/in-2600/list-5
"$875,000",76 Buxton,Deakin,house,Sold on 08 Nov 2015,3,1,1,http://www.realestate.com.au/sold/property-house-act-deakin-120992546,https://www.realestate.com.au/sold/in-2600/list-5
"$1,340,000",5/65 Musgrave Street,Yarralumla,townhouse,Sold on 02 Nov 2015,4,3,2,http://www.realestate.com.au/sold/property-townhouse-act-yarralumla-120885421,https://www.realestate.com.au/sold/in-2600/list-5
"$1,430,000",6 Young Street,Barton,house,Sold on 01 Nov 2015,4,2,1,http://www.realestate.com.au/sold/property-house-act-barton-120930969,https://www.realestate.com.au/sold/in-2600/list-5
"$1,425,000",37 Rawson Street,Deakin,house,Sold on 31 Oct 2015,4,3,2,http://www.realestate.com.au/sold/property-house-act-deakin-120885185,https://www.realestate.com.au/sold/in-2600/list-5
"$890,000",95 Stonehaven Crescent,Deakin,house,Sold on 31 Oct 2015,4,2,2,http://www.realestate.com.au/sold/property-house-act-deakin-120930973,https://www.realestate.com.au/sold/in-2600/list-5
"$875,000",44 Macgregor Street,Deakin,house,Sold on 29 Oct 2015,3,1,1,http://www.realestate.com.au/sold/property-house-act-deakin-120934161,https://www.realestate.com.au/sold/in-2600/list-5
"$875,000",30 Bedford Street,Deakin,house,Sold on 29 Oct 2015,2,1,1,http://www.realestate.com.au/sold/property-house-act-deakin-120933985,https://www.realestate.com.au/sold/in-2600/list-5
"$871,000",28 Bedford Street,Deakin,house,Sold on 29 Oct 2015,2,1,0,http://www.realestate.com.au/sold/property-house-act-deakin-120859293,https://www.realestate.com.au/sold/in-2600/list-5
"$1,300,000",21 Grey Street,Deakin,house,Sold on 17 Oct 2015,3,1,1,http://www.realestate.com.au/sold/property-house-act-deakin-120742681,https://www.realestate.com.au/sold/in-2600/list-5
"$2,450,000",13 Northcote Crescent,Deakin,house,Sold on 13 Oct 2015,4,4,3,http://www.realestate.com.au/sold/property-house-act-deakin-120522913,https://www.realestate.com.au/sold/in-2600/list-5
"$1,050,000",10 Turner Place,Yarralumla,house,Sold on 09 Oct 2015,3,1,1,http://www.realestate.com.au/sold/property-house-act-yarralumla-120795853,https://www.realestate.com.au/sold/in-2600/list-5
"$927,000",10 Carrington Street,Deakin,house,Sold on 26 Sep 2015,2,1,3,http://www.realestate.com.au/sold/property-house-act-deakin-120667693,https://www.realestate.com.au/sold/in-2600/list-5
"$1,400,000",6 Blakely Row,Yarralumla,house,Sold on 22 Sep 2015,4,2,2,http://www.realestate.com.au/sold/property-house-act-yarralumla-120468189,https://www.realestate.com.au/sold/in-2600/list-5
"$1,180,000",48 Banks Street,Yarralumla,house,Sold on 19 Sep 2015,4,3,2,http://www.realestate.com.au/sold/property-house-act-yarralumla-120525225,https://www.realestate.com.au/sold/in-2600/list-5
"$845,000",5/63 Newdegate Street,Deakin,house,Sold on 12 Sep 2015,3,2,2,http://www.realestate.com.au/sold/property-house-act-deakin-120514169,https://www.realestate.com.au/sold/in-2600/list-5
